,0,1,2,3,4,5,6,7
292,Wessly Madhevere,not out,35,18,37,4,1,194.44
293,Milton Shumba,c †de Kock b Nortje,18,20,32,2,0,90.00
294,Quinton de Kock †,not out,47,18,26,8,1,261.11
295,Temba Bavuma (c),not out,2,2,26,0,0,100.00
296,Pathum Nissanka,run out (Marsh/†Wade),40,45,65,2,0,88.88
297,Kusal Mendis †,c Marsh b Cummins,5,6,9,1,0,83.33
298,Dhananjaya de Silva,c Warner b Agar,26,23,47,3,0,113.04
299,Charith Asalanka,not out,38,25,45,3,2,152.00
300,Bhanuka Rajapaksa,c Cummins b Starc,7,5,9,1,0,140.00
301,Dasun Shanaka (c),c †Wade b Maxwell,3,5,6,0,0,60.00
302,Wanindu Hasaranga de Silva,c †Wade b Hazlewood,1,4,8,0,0,25.00
303,Chamika Karunaratne,not out,14,7,16,2,0,200.00
304,David Warner,c Shanaka b Theekshana,11,10,26,0,0,110.00
305,Aaron Finch (c),not out,31,42,89,0,1,73.80
306,Mitchell Marsh,c Rajapaksa b DM de Silva,17,17,20,1,1,100.00
307,Glenn Maxwell,c sub (KNA Bandara) b Karunaratne,23,12,21,2,2,191.66
308,Marcus Stoinis,not out,59,18,22,4,6,327.77
309,Paul Stirling,c Curran b Wood,14,8,16,1,1,175.00
310,Andy Balbirnie (c),c Hales b Livingstone,62,47,74,5,2,131.91
311,Lorcan Tucker †,run out (Rashid),34,27,42,3,1,125.92
312,Harry Tector,c †Buttler b Wood,0,2,3,0,0,0.00
313,Curtis Campher,c †Buttler b Wood,18,11,22,3,0,163.63
314,George Dockrell,b Livingstone,0,1,2,0,0,0.00
315,Gareth Delany,not out,12,10,22,1,0,120.00
316,Mark Adair,c Curran b Livingstone,4,4,8,0,0,100.00
317,Barry McCarthy,b Curran,3,3,4,0,0,100.00
318,Fionn Hand,b Curran,1,2,4,0,0,50.00
319,Josh Little,c †Buttler b Stokes,0,1,3,0,0,0.00
